ModeOfTransport,Name,Type,Month,Year,NumberOfTrips
Ferry,F1 Manly,Adult,Jan,2017,"437,077"
Ferry,F1 Manly,Adult,Jan,2018,"386,423"
Ferry,F1 Manly,Adult,Jan,2019,"330,957"
Ferry,F1 Manly,Adult,Feb,2017,"311,624"
Ferry,F1 Manly,Adult,Feb,2018,"270,888"
Ferry,F1 Manly,Adult,Feb,2019,"254,958"
Ferry,F1 Manly,Adult,Mar,2017,"298,774"
Ferry,F1 Manly,Adult,Mar,2018,"297,131"
Ferry,F1 Manly,Adult,Apr,2017,"319,851"
Ferry,F1 Manly,Adult,Apr,2018,"275,528"
Ferry,F1 Manly,Adult,May,2017,"245,223"
Ferry,F1 Manly,Adult,May,2018,"202,043"
Ferry,F1 Manly,Adult,Jun,2017,"221,866"
Ferry,F1 Manly,Adult,Jun,2018,"171,919"
Ferry,F1 Manly,Adult,Jul,2016,"276,206"
Ferry,F1 Manly,Adult,Jul,2017,"272,254"
Ferry,F1 Manly,Adult,Jul,2018,"218,795"
Ferry,F1 Manly,Adult,Aug,2016,"243,181"
Ferry,F1 Manly,Adult,Aug,2017,"228,534"
Ferry,F1 Manly,Adult,Aug,2018,"189,099"
Ferry,F1 Manly,Adult,Sep,2016,"250,792"
Ferry,F1 Manly,Adult,Sep,2017,"261,275"
Ferry,F1 Manly,Adult,Sep,2018,"217,786"
Ferry,F1 Manly,Adult,Oct,2016,"302,524"
Ferry,F1 Manly,Adult,Oct,2017,"291,855"
Ferry,F1 Manly,Adult,Oct,2018,"205,417"
Ferry,F1 Manly,Adult,Nov,2016,"313,364"
Ferry,F1 Manly,Adult,Nov,2017,"294,887"
Ferry,F1 Manly,Adult,Nov,2018,"249,945"
Ferry,F1 Manly,Adult,Dec,2016,"385,528"
Ferry,F1 Manly,Adult,Dec,2017,"357,252"
Ferry,F1 Manly,Adult,Dec,2018,"334,400"
Ferry,F1 Manly,Child/Youth,Jan,2017,"83,388"
Ferry,F1 Manly,Child/Youth,Jan,2018,"71,794"
Ferry,F1 Manly,Child/Youth,Jan,2019,"67,056"
Ferry,F1 Manly,Child/Youth,Feb,2017,"20,435"
Ferry,F1 Manly,Child/Youth,Feb,2018,"19,255"
Ferry,F1 Manly,Child/Youth,Feb,2019,"18,874"
Ferry,F1 Manly,Child/Youth,Mar,2017,"20,449"
Ferry,F1 Manly,Child/Youth,Mar,2018,"22,591"
Ferry,F1 Manly,Child/Youth,Apr,2017,"44,275"
Ferry,F1 Manly,Child/Youth,Apr,2018,"41,239"
Ferry,F1 Manly,Child/Youth,May,2017,"16,527"
Ferry,F1 Manly,Child/Youth,May,2018,"13,729"
Ferry,F1 Manly,Child/Youth,Jun,2017,"24,594"
Ferry,F1 Manly,Child/Youth,Jun,2018,"18,341"
Ferry,F1 Manly,Child/Youth,Jul,2016,"33,714"
Ferry,F1 Manly,Child/Youth,Jul,2017,"47,132"
Ferry,F1 Manly,Child/Youth,Jul,2018,"37,776"
Ferry,F1 Manly,Child/Youth,Aug,2016,"23,633"
Ferry,F1 Manly,Child/Youth,Aug,2017,"23,707"
Ferry,F1 Manly,Child/Youth,Aug,2018,"18,417"
Ferry,F1 Manly,Child/Youth,Sep,2016,"31,397"
Ferry,F1 Manly,Child/Youth,Sep,2017,"39,387"
Ferry,F1 Manly,Child/Youth,Sep,2018,"22,052"
Ferry,F1 Manly,Child/Youth,Oct,2016,"40,777"
Ferry,F1 Manly,Child/Youth,Oct,2017,"38,153"
Ferry,F1 Manly,Child/Youth,Oct,2018,"24,956"
Ferry,F1 Manly,Child/Youth,Nov,2016,"23,931"
Ferry,F1 Manly,Child/Youth,Nov,2017,"23,354"
Ferry,F1 Manly,Child/Youth,Nov,2018,"19,743"
Ferry,F1 Manly,Child/Youth,Dec,2016,"55,904"
Ferry,F1 Manly,Child/Youth,Dec,2017,"55,179"
Ferry,F1 Manly,Child/Youth,Dec,2018,"47,085"
Ferry,F1 Manly,Concession,Jan,2017,"10,894"
