ModeOfTransport,Name,Type,Month,Year,NumberOfTrips
Train,"T1 North Shore, Northern and Western Line",Adult,Jan,2017,"7,774,754"
Train,"T1 North Shore, Northern and Western Line",Adult,Feb,2017,"8,446,672"
Train,"T1 North Shore, Northern and Western Line",Adult,Mar,2017,"9,994,667"
Train,"T1 North Shore, Northern and Western Line",Adult,Apr,2017,"8,111,738"
Train,"T1 North Shore, Northern and Western Line",Adult,May,2017,"10,184,630"
Train,"T1 North Shore, Northern and Western Line",Adult,Jun,2017,"9,333,731"
Train,"T1 North Shore, Northern and Western Line",Adult,Jul,2016,"8,575,135"
Train,"T1 North Shore, Northern and Western Line",Adult,Jul,2017,"9,247,078"
Train,"T1 North Shore, Northern and Western Line",Adult,Aug,2016,"9,484,134"
Train,"T1 North Shore, Northern and Western Line",Adult,Aug,2017,"9,969,136"
Train,"T1 North Shore, Northern and Western Line",Adult,Sep,2016,"8,956,112"
Train,"T1 North Shore, Northern and Western Line",Adult,Sep,2017,"9,473,985"
Train,"T1 North Shore, Northern and Western Line",Adult,Oct,2016,"8,778,524"
Train,"T1 North Shore, Northern and Western Line",Adult,Oct,2017,"9,648,065"
Train,"T1 North Shore, Northern and Western Line",Adult,Nov,2016,"9,221,978"
Train,"T1 North Shore, Northern and Western Line",Adult,Nov,2017,"8,131,940"
Train,"T1 North Shore, Northern and Western Line",Adult,Dec,2016,"8,036,202"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Jan,2017,"552,039"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Feb,2017,"394,228"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Mar,2017,"426,221"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Apr,2017,"506,330"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,May,2017,"377,342"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Jun,2017,"421,819"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Jul,2016,"432,083"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Jul,2017,"543,192"
Train,"T1 North Shore, Northern and Western Line",Child/Youth,Aug,2016,"370,300"
