ModeOfTransport,Name,Type,Month,Year,PassengerCount
Tram,Arlington Light Rail,Adult,Jan,2017,"8,025"
Tram,Arlington Light Rail,Adult,Jan,2018,"4,444"
Tram,Arlington Light Rail,Adult,Jan,2019,"10,123"
Tram,Arlington Light Rail,Adult,Feb,2017,"8,177"
Tram,Arlington Light Rail,Adult,Feb,2018,"8,858"
Tram,Arlington Light Rail,Adult,Feb,2019,"10,940"
Tram,Arlington Light Rail,Adult,Mar,2017,"9,829"
Tram,Arlington Light Rail,Adult,Mar,2018,"9,875"
Tram,Arlington Light Rail,Adult,Apr,2017,"8,928"
Tram,Arlington Light Rail,Adult,Apr,2018,"9,107"
Tram,Arlington Light Rail,Adult,May,2017,"8,899"
Tram,Arlington Light Rail,Adult,May,2018,"10,485"
Tram,Arlington Light Rail,Adult,Jun,2017,"9,079"
Tram,Arlington Light Rail,Adult,Jun,2018,"9,177"
Tram,Arlington Light Rail,Adult,Jul,2016,"7,686"
Tram,Arlington Light Rail,Adult,Jul,2017,"9,849"
Tram,Arlington Light Rail,Adult,Jul,2018,"10,488"
Tram,Arlington Light Rail,Adult,Aug,2016,"8,151"
Tram,Arlington Light Rail,Adult,Aug,2017,"9,422"
Tram,Arlington Light Rail,Adult,Aug,2018,"11,438"
Tram,Arlington Light Rail,Adult,Sep,2016,"8,535"
Tram,Arlington Light Rail,Adult,Sep,2017,"8,803"
Tram,Arlington Light Rail,Adult,Sep,2018,"10,688"
Tram,Arlington Light Rail,Adult,Oct,2016,"8,638"
Tram,Arlington Light Rail,Adult,Oct,2017,"9,349"
Tram,Arlington Light Rail,Adult,Oct,2018,"11,003"
Tram,Arlington Light Rail,Adult,Nov,2016,"8,224"
Tram,Arlington Light Rail,Adult,Nov,2017,"9,737"
Tram,Arlington Light Rail,Adult,Nov,2018,"11,166"
Tram,Arlington Light Rail,Adult,Dec,2016,"8,320"
Tram,Arlington Light Rail,Adult,Dec,2017,"9,068"
Tram,Arlington Light Rail,Adult,Dec,2018,"10,019"
Tram,Arlington Light Rail,Child/Youth,Jan,2017,"1,066"
Tram,Arlington Light Rail,Child/Youth,Jan,2018,551
Tram,Arlington Light Rail,Child/Youth,Jan,2019,"1,134"
Tram,Arlington Light Rail,Child/Youth,Feb,2017,796
Tram,Arlington Light Rail,Child/Youth,Feb,2018,798
Tram,Arlington Light Rail,Child/Youth,Feb,2019,846
Tram,Arlington Light Rail,Child/Youth,Mar,2017,935
Tram,Arlington Light Rail,Child/Youth,Mar,2018,842
Tram,Arlington Light Rail,Child/Youth,Apr,2017,"1,119"
Tram,Arlington Light Rail,Child/Youth,Apr,2018,"1,006"
Tram,Arlington Light Rail,Child/Youth,May,2017,784
Tram,Arlington Light Rail,Child/Youth,May,2018,890
Tram,Arlington Light Rail,Child/Youth,Jun,2017,835
Tram,Arlington Light Rail,Child/Youth,Jun,2018,748
Tram,Arlington Light Rail,Child/Youth,Jul,2016,"1,292"
Tram,Arlington Light Rail,Child/Youth,Jul,2017,"1,207"
Tram,Arlington Light Rail,Child/Youth,Jul,2018,"1,036"
Tram,Arlington Light Rail,Child/Youth,Aug,2016,"1,244"
Tram,Arlington Light Rail,Child/Youth,Aug,2017,846
Tram,Arlington Light Rail,Child/Youth,Aug,2018,777
Tram,Arlington Light Rail,Child/Youth,Sep,2016,"1,187"
Tram,Arlington Light Rail,Child/Youth,Sep,2017,911
Tram,Arlington Light Rail,Child/Youth,Sep,2018,915
Tram,Arlington Light Rail,Child/Youth,Oct,2016,"1,087"
Tram,Arlington Light Rail,Child/Youth,Oct,2017,"1,026"
Tram,Arlington Light Rail,Child/Youth,Oct,2018,"1,008"
Tram,Arlington Light Rail,Child/Youth,Nov,2016,837
Tram,Arlington Light Rail,Child/Youth,Nov,2017,924
Tram,Arlington Light Rail,Child/Youth,Nov,2018,833
Tram,Arlington Light Rail,Child/Youth,Dec,2016,"1,028"
Tram,Arlington Light Rail,Child/Youth,Dec,2017,"1,105"
Tram,Arlington Light Rail,Child/Youth,Dec,2018,974
Tram,Arlington Light Rail,Concession,Jan,2017,448
Tram,Arlington Light Rail,Concession,Jan,2018,247
Tram,Arlington Light Rail,Concession,Jan,2019,336
Tram,Arlington Light Rail,Concession,Feb,2017,675
