ModeOfTransport,Name,Type,Month,Year,NumberOfTrips
Bus,Sydney Metro Contract 1,Adult,Jan,2017,"341,332"
Bus,Sydney Metro Contract 1,Adult,Jan,2018,"389,381"
Bus,Sydney Metro Contract 1,Adult,Jan,2019,"453,530"
Bus,Sydney Metro Contract 1,Adult,Feb,2017,"386,683"
Bus,Sydney Metro Contract 1,Adult,Feb,2018,"429,725"
Bus,Sydney Metro Contract 1,Adult,Feb,2019,"490,380"
Bus,Sydney Metro Contract 1,Adult,Mar,2017,"437,169"
Bus,Sydney Metro Contract 1,Adult,Mar,2018,"469,557"
Bus,Sydney Metro Contract 1,Adult,Apr,2017,"357,110"
Bus,Sydney Metro Contract 1,Adult,Apr,2018,"427,345"
Bus,Sydney Metro Contract 1,Adult,May,2017,"450,002"
Bus,Sydney Metro Contract 1,Adult,May,2018,"501,314"
Bus,Sydney Metro Contract 1,Adult,Jun,2017,"404,992"
Bus,Sydney Metro Contract 1,Adult,Jun,2018,"442,598"
Bus,Sydney Metro Contract 1,Adult,Jul,2016,"390,433"
Bus,Sydney Metro Contract 1,Adult,Jul,2017,"417,371"
Bus,Sydney Metro Contract 1,Adult,Jul,2018,"481,811"
Bus,Sydney Metro Contract 1,Adult,Aug,2016,"386,386"
Bus,Sydney Metro Contract 1,Adult,Aug,2017,"448,961"
Bus,Sydney Metro Contract 1,Adult,Aug,2018,"510,926"
Bus,Sydney Metro Contract 1,Adult,Sep,2016,"370,068"
Bus,Sydney Metro Contract 1,Adult,Sep,2017,"419,498"
Bus,Sydney Metro Contract 1,Adult,Sep,2018,"462,927"
Bus,Sydney Metro Contract 1,Adult,Oct,2016,"381,402"
Bus,Sydney Metro Contract 1,Adult,Oct,2017,"438,484"
Bus,Sydney Metro Contract 1,Adult,Oct,2018,"506,676"
Bus,Sydney Metro Contract 1,Adult,Nov,2016,"405,245"
Bus,Sydney Metro Contract 1,Adult,Nov,2017,"455,666"
Bus,Sydney Metro Contract 1,Adult,Nov,2018,"521,433"
Bus,Sydney Metro Contract 1,Adult,Dec,2016,"353,196"
Bus,Sydney Metro Contract 1,Adult,Dec,2017,"382,007"
Bus,Sydney Metro Contract 1,Adult,Dec,2018,"432,004"
Bus,Sydney Metro Contract 1,Adult Single Bus Trip 1,Jan,2017,"21,306"
Bus,Sydney Metro Contract 1,Adult Single Bus Trip 1,Jan,2018,"19,834"
Bus,Sydney Metro Contract 1,Adult Single Bus Trip 1,Jan,2019,"17,732"
